formal,informal,enfp,joongding,gentle
저도 좋습니다. 방금 식당에서 퇴근했어요.,나도 잘 지내고 있어. 방금 식당에서 퇴근했어.,나두 완전 잘 지냈징~ 방금 식당에서 퇴근했어ㅜ,잘지냄 방금 식당에서 퇴근함,저도 좋습니다. 방금 식당에서 퇴근을 했네요.
식당 일이 힘들진 않나요? 사람들이 음식에 대해 불평을 자주 한다고 들었어요.,식당 일이 힘들진 않아? 사람들이 음식에 대해 불평을 자주 한다고 들었는데.,식당 일 대박 힘들 거 같아 안 힘들엉? 사람들이 음식에 대해서 엄~청 궁시렁댄다던대,힘들지도 않냐? 사람들이 맨날 불평할 것 같은데 ㅋ,식당 일이 힘드시진 않나요? 사람들이 음식에 대하여 불평을 자주 한다고 들었습니다.
지금은 힘들지만 언젠가는 제 레스토랑을 차리고 싶습니다.,지금은 힘들지만 언젠가는 내 레스토랑을 차리고 싶어.,지금은 엄~청 힘들지만 언젠가는 내 레스토랑 차리고 싶어!!,힘들지 ㅡㅡ 근데 나중에 내 레스토랑 차릴거,지금은 힘들죠. 언젠가 제 레스토랑을 차릴 것입니다.
멋있네요. 저는 빵집을 운영하고 있습니다.,멋있네. 난 빵집을 운영하고 있어.,멋지당~ 나는 빵집 운영하고 있엉 ㅎㅎ,ㅇㅎ 난 빵집운영함,멋있습니다. 저는 빵집을 운영하고 있습니다.
빵집 일은 어떤가요?,빵집 일은 어때?,빵집 일은 어때 어때?!,빵집 어떤데,빵집 일은 어떠십니까?
"좋아요. 음악을 들으면서 일을 하기도 하고, 남는 빵은 제가 먹기도 합니다.","좋아. 음악을 들으면서 일을 하기도 하고, 남는 빵은 내가 먹기도 해.","좋아! 음악을 들으면서 일하기도 하구,, 남는 빵은 내가 냠냠 먹기도 해~~",ㄱㅊ음 음악들으면서 일하고 남는 빵 내가 먹음,좋습니다. 음악 들으며 일하기도 합니다. 남은 빵을 먹기도 하고요.
남는 빵을 먹을 수 있는건 부럽네요. 어떤 음악을 좋아하세요?,남는 빵을 먹을 수 있는건 부럽다. 어떤 음악을 좋아해?,남는 빵 먹는 건 부럽당!!! 어떤 음악을 좋아행?!,빵 맨날 먹겠네. 노래는 뭐듣냐,남을 빵을 먹을 수 있는건 부럽습니다. 어떤 음악을 좋아하십니까?
저는 클래식하고 재즈를 좋아해요.,난 클래식하고 재즈를 좋아해.,난 클래식~하고 재즈!,클래식하고 재즈 듣는데 왜,저는 클래식하고 재즈를 좋아합니다.
저도 그거 좋아해요! 전 주로 뛰면서 음악을 듣는걸 좋아합니다.,나도 그거 좋아해요! 난 주로 뛰면서 음악을 듣는걸 좋아해.,헐 대박!! 나도 그거 완전 좋아해!! 주로 뛰면서 음악듣는 걸 좋아해 ㅎㅎ,니더 좋아함 조깅하면서 노래들음,저도 좋아하는 장르네요. 전 주로 런닝하며 음악 듣는 걸 좋아합니다.
"최근에 컵케익을 너무 많이 먹어서 살이 찐 것 같은데, 저도 조금 뛰어야겠네요.","최근에 컵케익을 너무 많이 먹어서 살이 찐 것 같은데, 나도 조금 뛰어야겠다.",최근에 컵케익을 너무 많이 먹어서 살이 찐 것 같아ㅜㅜ 나도 좀 뛰어야겠어!!,나도 컵케익 먹어서 살찜 ㅡㅡ 뛰어야겠네,최근 컵케이크를 많이 먹어서 살이 쪘습니다.. 저도 조금 뛰어야겠습니다.
나중에 연락하시면 같이 뛰어요.,나중에 연락하면 같이 뛰자.,나중에 연락하면 같이 뛰장!! ^0^,ㅋ 나중에 같이 뛰던가,나중에 연락하세요. 같이 뜁시다.
클래식 음악을 들으면서 친구랑 같이 뛰면 분명 재밌을 것 같네요.,클래식 음악을 들으면서 친구랑 같이 뛰면 재밌을 것 같다.,클래식 음악을 들으면서~ 친구랑 같이 뛰면 음~ 너무 재밌을 거 같아,클래식 들으면서 뛸건데,클래식 음악을 들으며 친구와 함께 뛰면 확실히 재밌겠네요.
이 빵은 얼만가요?,이 빵은 얼마야?,이 빵은 얼마~?,빵 이거 얼마?,이 빵은 얼마입니까?
4달러입니다.,4달러.,4달러.,4달런데 왜,4달러입니다.
"안녕하세요, 어딜 그렇게 급히 나가시나요?",어딜 그렇게 급히 나가?,안뇽안뇽~ 어딜 그렇게 급하게 나가~?,급함? 어디가는데,안녕하십니까? 어딜 그렇게 급히 나가십니까?
"안녕하세요. 세탁소에 맡긴 옷을 가지러 가는건데, 그리 급하지는 않습니다.","세탁소에 맡긴 옷을 가지러 가는건데, 그리 급하지는 않아.",안뇽~ 세탁소에 맡긴 옷을 가지러 가는 중~ 급하진 않앙,세탁소에 옷가지러가는데 별로 안급함 왜,안녕하십니까. 세탁소에 맡긴 옷을 가지러 가고 있습니다. 그리 급하진 않습니다.
"저도 세탁소에 들러야 하는데, 어제 늦게까지 일을 하느라 가질 못했네요.","나도 세탁소에 들러야 하는데, 어제 늦게까지 일을 하느라 가질 못했어.","헐! 나도 세탁소 들러야 하는뎅! 어제 늦게까지 일하다가 가질 못했어ㅜ,,!!",나도 가야되는데 어제 일하느라 못감,저도 세탁소를 방문해야 합니다.어제 늦게까지 일을 하느라 가질 못하였네요.
무슨 일을 하시나요?,무슨 일을 하는데?,아이고ㅜㅜ 무슨 일 하는뎅?!,뭔일하는데,무슨 일을 하십니까?
밤에는 클럽에서 일하고 낮에는 학교에 갑니다.,밤에는 클럽에서 일하고 낮에는 학교에 가.,밤에는 클럽에서 일하구 낮에는 학교에 가~!,밤에 클럽에서 일하고 낮에 학교가는데,밤에는 클럽에서 일을 하고 낮에는 학교를 다니고 있습니다.
밤낮으로 바쁘시네요.,밤낮으로 바쁘네.,밤낮으로 바쁘넹!!,ㅋ 바쁘네,밤낮으로 바쁘시군요.
"네, 그래서 세탁은 맡기는 편입니다. 원래 어제 가려고 했는데 가지 못했어요.","응, 그래서 세탁은 맡기는 편이야. 원래 어제 가려고 했는데 가지 못했어.","웅웅 그래서 세탁은 맡기는 편이양~ 원래 어제 가려고 했는데에 가질 못했어,,",ㅇ 그래서 세탁은 맡김 어제 갈라했는데 못갔다,"예. 그래서 세탁은 맡기는 편입니다. 원래 어제 가려했습니다. 가지 못하였지만,,,"
저는 집에 있는 세탁기가 고장나서 맡기고 있습니다.,난는 집에 있는 세탁기가 고장나서 맡기고 있어.,"난 집에 있는 세탁기가 고장나서,, 맡기고 있었엉,,,",나 세탁기 고장나서 맡김,저는 집에 있는 세탁기가 고장이 나서 맡기고 있습니다.
어쩌다가 고장이 났나요?,어쩌다가 고장이 났어?,어쩌다가 고장 났엉?!,왜났는데 고장,어쩌다가 고장이 나게 되었습니까?
아이들이 놀다가 배수관을 망가뜨려버렸어요.,아이들이 놀다가 배수관을 망가뜨려버렸어.,애들이 놀다가~ 배수관을 망가뜨려버렸지ㅜ,애들이 놀다가 배수관 부쉈는데,아이들이 놀다가 배수관을 망가뜨렸습니다.
정말 골치아프시겠네요. 수리는 할 수 있으신가요?,정말 골치아프시겠다. 수리는 할 수 있어?,정말 골치아프겠당 ㅜㅜ 수리는 할 수 있엉?!,ㅋ 귀찮겠네 수리는 되냐,정말 머리 아프시겠네요. 수리는 가능하십니까?
"네, 기사를 부르려고 했는데, 수리를 하는 비용보다 새 세탁기를 사는게 더 쌀 것 같아서 주말에 사러 나가려고 합니다.","응, 기사를 부르려고 했는데, 수리를 하는 비용보다 새 세탁기를 사는게 더 쌀 것 같아서 주말에 사러 나가려고 해.","응,, 기사를 부르려고 했는뎅,, 수시를 하는 비용보다 새 세탁기 사는 게 더 쌀 거 같지 뭐야~ 그래서 주말에 사러 나가려고!!",ㅇ 근데 기사 부르는게 비싸서 주말에 새거 살거 ㅡㅡ,"네, 기사를 부르려고 했습니다만, 수리하는 비용보다 새 세탁기를 사는 것이 더 쌀 것 같아서 주말에 사러 나가려합니다. "
이번에는 배수관이 튼튼한 제품으로 사셔야겟네요.,이번에는 배수관이 튼튼한 제품으로 사야겟네.,이번에는 배수관이 튼튼한 제품으로 사자~!!,튼튼한거 사야겠네 그럼,이번에는 배수관이 튼튼한 제품으로 구매하시길 바랍니다.
이번 기회에 더 성능이 좋고 건조까지 가능한 기종으로 구하려고요.,이번 기회에 더 성능이 좋고 건조까지 가능한 기종으로 구하려고.,이번 기회에 더 성능이 좋구~ 건조까지! 가능한 기종으로 구하려궁 ㅎㅎ,성능 좋고 건조기 되는거 살거야,이번 기회에 더 성능이 좋고 건조까지 가능한 기종으로 구매하려 합니다.
새 세탁기를 건조가능한걸로 사면 건조기는 어떻게 하실건가요?,새 세탁기를 건조가능한걸로 사면 건조기는 어떻게 할거야?,새 세탁기를 건조 가능한 걸로 사면 건조기는 어떻게 사려구!!,세탁기가 건조되면 건조기는 뭐하러 갖고있냐,새 세탁기를 건조 가능한 것으로 사시면 기존의 건조기는 어떻게 하실건가요?
"그건 생각 못 했는데, 아마 팔아야 할 것 같아요.","그건 생각 못 했는데, 아마 팔아야 할 것 같아.",그건 생각 못 했넹 ㅋㅋ 아마 팔아야 할 것 같앙!!,생각 못해봤는데 그냥 팔겠지 그럼,그건 생각 못하였네요. 아마 팔아야 할 듯 합니다.
안녕하세요.,안녕.,안뇽~!!!,ㅎㅇ,안녕하십니까
"안녕하세요, 조금 배고프지 않으세요?","안녕하세요, 조금 배고프지 않아?",안뇽안뇽~ 좀 배고프지 않앙?,ㅎㅇ 배 안고프냐,안녕하십니까. 배가 조금 고프시지 않으십니까?
"아니요, 방금 빵을 먹었습니다.","아니요, 방금 빵을 먹었어.",갠찮아 ㅎㅎ 방금 빵 먹었어!,빵먹었는데 뭘 배고파 ㅡㅡ,아니요. 방금 빵을 먹고 왔습니다.
무슨 빵을 드셨어요?,무슨 빵을 먹었어?,무슨 빵 먹었엉!!!,빵 뭐먹었는데 ㅡㅡ,무슨 빵을 드셨습니까?
피자빵을 먹었어요.,피자빵을 먹었어.,피자빵 ㅎㅎ,피자빵 먹음 왜,피자빵을 먹었습니다.
"저도 피자빵 좋아하는데, 먹어야겠네요.","나도 피자빵 좋아하는데, 먹어야겠다.",헐 나도 피자빵 완~전 좋아!! 먹어야 겠당 ㅎㅎ,나도 피자빵 좋아하는데 먹어야겠네,저도 피자빵 좋아합니다. 먹어야겠네요.
조금 남은게 있는데 드실래요?,조금 남은게 있는데 먹을래?,"조금 남은 게 있는뎅,, 먹을래?!",먹다 남았는데 이거 먹을거?,조금 남은 게 있습니다만 드시겠습니까?
있으신가요? 감사히 먹겠습니다. 엄청 맛있네요! 어디서 사신 건가요?,있어? 감사히 먹을게. 엄청 맛있네! 어디서 산거야?,있다면 먹을랭 &0&! 엄청 맛있넹!! 어디서 샀뎌?!,ㅇ 먹음. 먹을만 하네 어디서 주웠냐?,있다면 감사히 먹겠습니다. 엄청 맛있네요. 어디서 구매하신 건가요?
제가 직접 구운 빵입니다.,내가 직접 구운 빵이야.,내가 직접 구운 빵이야 ㅎㅎ ,내가 직접 구웠는데,제가 직접 구운 빵입니다.
"대단한 실력이신데요, 빵집을 차리셔도 되겠어요.","대단한 실력이데, 빵집을 차려도 되겠어.",완전 대박 실력 대박~ 빵집 차려도 되겠는데~?,먹을만하네 빵집차리던가 하셈,실력이 대단하십니다. 빵집을 차리셔도 되겠습니다.
"감사합니다, 요리를 하는게 취미에요.","고마워, 요리를 하는게 취미야.",고마웡 ㅎㅎ 요리 하는 게 취미야!,ㅋ 요리가 취미니까 맛있겠지,감사합니다. 요리가 취미입니다.
정말 좋은 취미 같습니다.,정말 좋은 취미 같아.,"좋은 취미다,,~",괜찮은 취미네,정말 좋은 취미네요.
"네, 재미도 있지만 맛있는 음식도 먹을 수 있어서 좋아요.","응, 재미도 있지만 맛있는 음식도 먹을 수 있어서 좋아.",웅웅!! 재미도 있지만 맛있는 음식도 먹을 수 있어서 좋앙 ㅎㅎ,재밌는것도 맞는데 맛있는거 많이 먹음,네 재미도 있고 맛있는 음식도 먹을 수 있어 좋습니다.
저도 요리를 시작해봐야겠어요.,나도 요리를 시작해봐야겠어.,나도 요리 한번 해봐야겟당!,요리나 해야겠네 나도,저도 요리를 시작해봐야겠습니다. ㅎㅎ
만나서 반갑습니다.,만나서 반가워.,만나서 방가방가~,ㅎㅇ,만나서 반갑습니다.
만나서 반가워요. 여태까지 일만 하느라 골프를 할 시간이 없었네요.,만나서 반가워. 여태까지는 일만 하느라 골프를 할 시간이 없었어.,만나서 반가웡!! 여태까지 일만 하느라 골프 할 시간이 없당 ㅜ,ㅎㅇ 일하느라 골프도 못했네 ㅡㅡ,만나서 반갑습니다. 여태 일만 하느라 골프 칠 시간이 없었네요.
좋아하실 것 같습니다. 저는 군에서 퇴직한 뒤로 시간이 많아져서 골프를 시작했습니다.,너도 좋아할거 같아. 나는 군에서 퇴직한 뒤로 시간이 많아져서 골프를 시작했어.,좋아할 거 같앙!! 난 군에서 퇴직하구 시간이 많아져서 골프를 시작했엉 ㅎㅎ,너도 좋아할듯. 군대갔다와서 시간 남아서 골프 시작함 나는,좋아하실 것 같았습니다. 저는 군에서 퇴직한 후로 시간이 많아져서 골프를 시작했습니다.
"저는 최근까지 식당을 운영하고 있었지만, 이제는 은퇴했습니다.","나는 최근까지 식당을 운영하고 있었지만, 은퇴했어.","난 최근까지 식당 운영했는데,, 이젠 은퇴했어ㅜㅜ",난 식당 운영하다 은퇴함,저는 최근까지 식당을 운영하였습니다. 이젠 은퇴하였죠.
식당에서 일할때는 바쁘셨나요?,식당에서 일할때는 바빴어?,대~박 식당에서 일할 땐 바빴엉 ㅜㅜ?,식당일 바빴냐,식당에서 일할 때는 바쁘셨습니까?
"네, 동생에게 식당을 물려주기 전까지는 정말 일, 일, 일 뿐이였습니다.","응, 동생에게 식당을 물려주기 전까지는 정말 일, 일, 일 뿐이였어.","웅웅,, 동생한테 식당 물려주기 전까지는 진짜 일, 일, 일, 일!!! 완~전 일뿐이었다니까!!!ㅜㅜ",ㅇ 지금은 동생 줬는데 계속 바빴음 왜,네. 동생에게 식당을 물려주기 전까진 정말 일뿐이였습니다.
골프를 하다보면 마음의 평온을 얻으실 수 있을거에요. 모든 취미활동이 그런 법입니다.,골프를 하다보면 마음이 평온해질거야. 모든 취미활동이 그런 법이야.,골프 하다보면 마음의 평온을 얻을 수 있을거야~! 모든 취미활동이 다 그런 법이니까 ㅎㅎ,골프치면 괜찮아진다 취미가 다 그럼,골프를 하다보면 마음의 평온을 얻을 수 있으실 겁니다. 모든 취미활동이 그런 법이지요.
"네, 티비에서 하는 걸 보고 저도 골프를 해보고 싶었습니다.",티비에서 하는 걸 보고 나도 골프를 해보고 싶었어.,웅웅 티비에서 하는 걸 보구 나도 골프를 해보고 싶었어!!!,티비에서 하는거 봤는데 괜찮아보이는듯,네. 텔레비전에서 하는 걸 보고 저도 골프를 해보고 싶었습니다.
이렇게 만난 것도 인연인데 같이 골프 치는거 어때요?,이렇게 만난 것도 인연인데 같이 골프 치는거 어때?,이렇게 만난 것두 인연인데~ 같이 골프 치는 거 어땡?!,같이 골프나 치러 가던가,"이렇게 만난 것도 인연인데, 같이 골프 어떻습니까?"
좋아요. 18홀 내기인가요?,좋아. 18홀 내기?,좋앙 ㅎㅎ 18홀 내기야?!,뭐 18홀 내기하자고?,좋습니다. 18홀 내기입니까?
제가 더 숙련자니 좀 봐드릴게요. 지는 사람이 점심밥을 사는 걸로 합시다.,내가 숙련자니 좀 봐줄게. 지는 사람이 점심밥을 사는거다.,내가 좀 더 숙 련 자니까~ 좀 봐줄게 ㅎㅎ 지는 사람이 점심밥 사는 거 어땡?,좀 봐줌 지면 점심사라,제가 더 숙련자니 좀 봐드리도록 하겠습니다. 지는 사람이 점심 밥 사는 걸로 합시다.
오늘 처음 하는 골프지만 왠지 잘 할 것 같은 기분이에요.,오늘 처음 하는 골프지만 왠지 잘 할 것 같은 기분이야.,오늘 첨 하는 골픈데에 왠~지 잘할 것 같은 기분? ㅎㅎ,처음치는데 니보단 잘할듯 ㅡㅡ,오늘 처음 하는 골프지만 왜인지 잘 할 것 같은 기분이네요.
"안녕하세요, 날씨가 쌀쌀하네요.","안녕, 날씨가 쌀쌀하네.",안뇽~ 날씨가 쌀쌀하당 ㅜ ,ㅎㅇ 춥네오늘,안녕하세요. 날씨가 쌀쌀하네요.
